row,playbook_ref,playbook_name,boss_level,boss_level_name,area,area_code,pillar,assessment_page,question_number_on_page,question,score_red,score_amber,score_green
38,3.7,KPIs,3,Organised,Financials & Metrics,F,Create Value,8,3,"Do the KPIs you track actually drive decisions, and are you reviewing the right numbers regularly?",I don't measure what matters or I don't review metrics,I track some numbers but they don't consistently change what we do,"I have clear lead and lag KPIs, I review them weekly/monthly, and they drive my decisions"
39,4.7,Dashboards & Reporting,4,Overseer,Financials & Metrics,F,Create Value,8,4,"Do your dashboards and reports give you a clear picture of performance, and does your team act on them?",I have no reporting system or I don't use it,I have some reports but they're incomplete or inconsistently reviewed,I have visual dashboards/scorecards that I review regularly with my team
40,5.7,Business Valuation,5,Owner,Financials & Metrics,F,Create Value,8,5,"Are you actively increasing what your business is worth, and do you know the drivers and manage them?",I have no idea what the business is worth,I've had a rough valuation but I'm not actively managing the drivers,"I know my valuation, I understand the drivers, and I'm deliberately increasing them"
41,1.8,Processes,1,Overwhelm,Infrastructure & Systems,I,Create Value,9,1,"Do your key processes run reliably, so work gets done the same way with consistent outputs?",Work depends on who's doing it and results vary,Some processes work but they're inconsistent or only in people's heads,Key processes run reliably and produce consistent outputs every time
42,2.8,Systems,2,Overworked,Infrastructure & Systems,I,Create Value,9,2,"Are your business systems connected, with marketing, sales, delivery, and finance working together without manual gaps?",Everything is disconnected or manual,I have some systems but they're not connected or complete,I have integrated systems across all key business functions
43,3.8,Management,3,Organised,Infrastructure & Systems,I,Create Value,9,3,"Does your management system produce accountability, with clear expectations, cadence, and recognition?",I manage people ad hoc with no structure,I have some management practices but outcomes are inconsistent,I have a structured management system with clear practices that my managers follow
44,4.8,AI & Automation,4,Overseer,Infrastructure & Systems,I,Create Value,9,4,Are AI and automation removing repetitive work and freeing your team for higher-value output?,We're still doing low-value work manually,We use some tools but there's much more we could automate,We've systematically automated low-value tasks using AI and automation
45,5.8,Optimisation,5,Owner,Infrastructure & Systems,I,Create Value,9,5,"Do you have a continuous improvement process that maps what's not working, innovates, and refines your systems?","Once something is built, I rarely revisit it",I improve things when they break but I don't have a formal process,"I map gaps, innovate on systems, and run structured continuous improvement"
46,1.9,Team Output,1,Overwhelm,Team & Leadership,T,Create Value,10,1,"Is your team delivering the outputs you expect, performing at the level you need?","People overlap, drop things, or underperform without clear consequences",Most people perform OK but outputs aren't consistently at the level I want,Everyone delivers clear outputs and performs at the level the business needs
47,2.9,Team Performance,2,Overworked,Team & Leadership,T,Create Value,10,2,"Are you getting the best from your team, with training, accountability, feedback, and reviews that change performance?",I don't have formal performance management that improves results,I do some of this but performance doesn't consistently improve,"Regular reviews, accountability, and feedback actively improve team performance"
48,3.9,Recruitment,3,Organised,Team & Leadership,T,Create Value,10,3,"Are you hiring the right people reliably, with a process that produces good hires and onboarding?",I hire reactively and often get the wrong fit,I have some process but hiring outcomes are inconsistent,I have a repeatable recruitment process that consistently brings in the right people
49,4.9,Developing Leaders,4,Overseer,Team & Leadership,T,Create Value,10,4,Are leaders in your business running parts of the operation without needing you?,No one else can lead without me,I have capable people but they still depend on me for key decisions,I'm developing leaders who make decisions and run things independently
50,5.9,Company Culture,5,Owner,Team & Leadership,T,Create Value,10,5,"Does your culture produce the behaviours you want, with values lived daily, not just on the wall?",Culture is accidental and behaviours vary wildly,We have values but they're not consistently enforced or embedded,"Culture is a system with defined values, expected behaviours, and recognition"
